REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	A549.H3K27AC.ENCFF714TFN.sorted.bam	A549.INPUT.ENCFF669AUD.sorted.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_Peak_234_lociStitched	chr14	68935553	68956143	2	19304	43438.723	3751.498	166	BANF1P1,ACTN1	ACTN1-AS1,HMGN1P3,ACTN1	ACTN1	166	1
9_Peak_67533_lociStitched	chr7	34032882	34072220	9	30013	46182.812	6522.2404	167	BMPER		BMPER	167	1
26_Peak_39386_lociStitched	chr3	25411205	25514229	26	39645	55581.448	15937.8128	168	RARB,AC133141.1	RF01161	RARB	168	1
16_Peak_2149_lociStitched	chr8	140999742	141044563	16	30590	48949.0141	9336.2143	169	PTK2	AC100860.1,PTK2	PTK2	169	1
Peak_29	chr17	40479413	40494537	1	15125	43841.4512	4570.4728	170	TNS4	IGFBP4,AC004585.1,RPL23AP75,AC018629.1,TNS4	TNS4	170	1
18_Peak_67064_lociStitched	chr7	151674160	151759110	18	44688	51411.74	12258.285	171	PRKAG2	AC093583.1,PRKAG2	PRKAG2	171	1
Peak_70	chr17	59778643	59792857	1	14215	43035.7278	3930.171	172	VMP1,AC040904.1	VMP1,MIR21	AC040904.1	172	1
Peak_52	chr20	47349365	47363725	1	14361	42425.184	3559.844	173	AL031666.1,ZMYND8	AL031666.2,ZMYND8,AL031666.3,LINC01754	ZMYND8	173	1
14_Peak_55707_lociStitched	chr5	59347831	59392343	14	31276	47454.2432	8590.816	174	PDE4D	AC008833.1	PDE4D	174	1
12_Peak_55503_lociStitched	chr15	63330380	63382635	12	27320	51194.2235	12368.7585	175	CA12	APH1B,LINC02568	CA12	175	1
Peak_2	chr12	52274255	52288968	1	14714	41996.7872	3338.3797	176	KRT86,AC021066.3,AC021066.1,KRT81	KRT7,AC021066.2,KRT86,METTL7AP1,KRT7-AS,KRT87P,AC121757.1,KRT83	AC021066.1	176	1
13_Peak_18233_lociStitched	chr9	38006251	38070747	13	34764	49100.8048	10712.7856	177	AL138752.2,SHB		AL138752.2	177	1
20_Peak_47279_lociStitched	chr9	71716030	71797544	20	38954	50285.9866	11958.1038	178	CEMIP2	AL671309.1,CEMIP2	CEMIP2	178	1
Peak_400	chr9	73034650	73054527	1	19878	42433.4196	4194.047	179	CYP1D1P,ALDH1A1		CYP1D1P	179	1
12_Peak_12579_lociStitched	chr20	53578502	53625172	12	30485	45321.237	7233.85	180	AC005808.1,ZNF217	RF00019,AL157838.1,ZNF217,RNU7-14P	AC005808.1	180	1
17_Peak_18324_lociStitched	chr13	67067832	67148895	17	45047	46700.3943	8779.1229	181	AL160254.1,PCDH9		AL160254.1	181	1
41_Peak_32196_lociStitched	chr4	41426890	41542330	41	58466	50274.12	12398.256	182	LIMCH1	RPL12P20	LIMCH1	182	1
Peak_101	chr17	50627359	50644098	1	16740	42560.5814	4690.2678	183	CACNA1G,ABCC3,AC004590.1	CACNA1G,ABCC3,AC005921.2	ABCC3	183	1
11_Peak_84634_lociStitched	chr8	17757609	17806882	11	33630	47031.0785	9218.9783	184	AC027117.2,MTUS1	RNA5SP256,AC027117.1,MTUS1	MTUS1	184	1
16_Peak_128_lociStitched	chr5	58885206	58935378	16	33672	46604.7708	8925.5988	185		AC008852.1	AC008852.1	185	1
Peak_604	chr20	31709814	31724011	1	14198	41130.1287	3544.9909	186	AL117381.1,ABALON,BCL2L1	TPX2	ABALON	186	1
20_Peak_3905_lociStitched	chr2	30230750	30303440	20	33978	53180.004	15642.888	187	LBH	SNORA10B,AC104698.1,LINC01936	LBH	187	1
Peak_275	chr11	12063185	12081012	1	17828	40955.7498	3511.919	188	AC124276.1	LINC02547,AC124276.2,MICAL2	AC124276.1	188	1
Peak_382	chr15	89110103	89130600	1	20498	42385.7463	4952.0752	189	ABHD2,RNU7-195P	ABHD2,AC013565.3,HMGB1P8	RNU7-195P	189	1
Peak_167	chr20	50411139	50430193	1	19055	41009.9242	3648.841	190	RN7SL636P	COX6CP2	RN7SL636P	190	1
4_Peak_69479_lociStitched	chr12	124364061	124397759	4	24782	42715.5848	5553.4304	191	AC073916.1,NCOR2	NCOR2,MIR6880	AC073916.1	191	1
11_Peak_45546_lociStitched	chr2	191154669	191222072	11	31221	47869.6106	10723.8173	192	HMGB1P27,AC079777.1	RNU6-959P,MYO1B,STAT4,AC092614.1	HMGB1P27	192	1
25_Peak_73396_lociStitched	chr17	79419113	79485696	25	39173	47826.5689	10806.4209	193	RBFOX3		RBFOX3	193	1
13_Peak_4077_lociStitched	chr9	134364645	134457732	13	36050	47204.4177	10220.9526	194	RXRA,MIR4669	AL669970.1	RXRA	194	1
10_Peak_32478_lociStitched	chr11	66105600	66143725	10	28970	44049.625	7087.4375	195	PACS1	SF3B2,AP006287.2	PACS1	195	1
6_Peak_898_lociStitched	chr12	6361202	6392793	6	20192	43083.8058	6198.1542	196	LTBR,SCNN1A	PLEKHG6,RN7SL391P,AC005840.2,SRP14P1,TNFRSF1A,SCNN1A,AC005840.1	SCNN1A	196	1
14_Peak_27685_lociStitched	chr10	113041246	113116091	14	35740	50131.181	13329.8945	197	TCF7L2	TCF7L2	TCF7L2	197	1
1_Peak_127_lociStitched	chr10	99773760	99790473	1	16714	40480.5573	3688.5591	198	ABCC2,NANOGP6	CUTC,ABCC2,AL133353.2,COX15	ABCC2	198	1
Peak_57	chr11	65415525	65433742	1	18218	40645.7704	3891.1512	199	NEAT1,RF01955,RF01956,RF01957	AP000944.1,FRMD8,MIR612,RF01684,AP000769.1,SLC25A45	RF01957	199	1
9_Peak_56599_lociStitched	chr9	127542197	127586619	9	30456	43782.3232	7147.4998	200	STXBP1,FAM129B	STXBP1,FAM129B	FAM129B	200	1
12_Peak_324_lociStitched	chr22	42988188	43036861	12	35778	41922.0549	5339.4281	201	PACSIN2	AL022476.1,PACSIN2,TTLL1	PACSIN2	201	1
9_Peak_53140_lociStitched	chr17	2925620	2967081	9	31381	43985.9749	7558.3403	202	RAP1GAP2,AC015921.1	RAP1GAP2	AC015921.1	202	1
14_Peak_71509_lociStitched	chr3	119172435	119213323	14	31695	43897.3568	7511.1256	203	AC083800.1,UPK1B,B4GALT4	C3orf30,B4GALT4-AS1,IGSF11,B4GALT4	UPK1B	203	1
7_Peak_3074_lociStitched	chr4	74096491	74135345	7	29072	41270.7188	4984.9682	204	MTHFD2L,CXCL2	MTHFD2L,PPBPP2,AC093677.1,AC093677.2	MTHFD2L	204	1
8_Peak_3316_lociStitched	chr12	63886862	63923330	8	29593	42868.134	6604.3548	205	SRGAP1,AC079866.1	AC079866.2,RPL36AP41	AC079866.1	205	1
17_Peak_62039_lociStitched	chr6	136398644	136470602	17	46891	45513.435	9275.3862	206	MAP7,AL023284.2	AL023284.3,NDUFS5P1	AL023284.2	206	1
4_Peak_56707_lociStitched	chr6	105587052	105618396	4	26105	40358.5344	4168.752	207	Z97206.2	Z97206.1	Z97206.2	207	1
12_Peak_42845_lociStitched	chr3	53222003	53276055	12	39602	43155.1168	6967.3028	208	TKT	RF00019,DCP1A	TKT	208	1
21_Peak_9558_lociStitched	chr8	8599084	8680371	21	39582	49877.7032	14070.7797	209		AC114550.3,AC114550.1,CLDN23,AC114550.2,RN7SL178P,AC087269.2	RN7SL178P	209	1
16_Peak_69322_lociStitched	chr7	92731574	92813920	16	33885	50700.4322	14954.0336	210	CDK6	AC002454.1,RNU6-10P,CDK6	CDK6	210	1
26_Peak_5491_lociStitched	chr10	93990687	94077490	26	38858	50554.0672	14808.5918	211	PLCE1	PLCE1,AL139118.1,PIPSL,PLCE1-AS2	PLCE1	211	1
20_Peak_4151_lociStitched	chrX	107672697	107748628	20	43184	42589.6979	7091.9554	212	TSC22D3	PRPS1,NCBP2L,TSC22D3	TSC22D3	212	1
13_Peak_15638_lociStitched	chr1	63661078	63746594	13	40553	44596.594	9141.6604	213		PGM1,RN7SL130P,ROR1,AL161742.1	RN7SL130P	213	1
9_Peak_42275_lociStitched	chr7	74449442	74488927	9	22069	41301.31	6025.411	214	GTF2IRD1,RNA5SP233	CLIP2,GTF2IRD1	GTF2IRD1	214	1
Peak_450	chr17	50679402	50695946	1	16545	39737.0336	4619.0848	215	ABCC3,AC005921.2,ANKRD40	ABCC3,RF00019,LUC7L3,AC005921.3,AC004590.1,ANKRD40	ABCC3	215	1
6_Peak_14219_lociStitched	chr15	66744289	66780304	6	27527	44647.7955	9767.268	216	SMAD6	SMAD6,AC013564.1,AC110048.1	AC013564.1	216	1
Peak_3	chr17	19744023	19756530	1	12508	38236.4004	3405.6561	217	AC005722.1,ALDH3A1	AC005722.2,AC005722.3,SLC47A2,ALDH3A1,ULK2	ALDH3A1	217	1
13_Peak_30667_lociStitched	chr7	76281118	76341383	13	26867	44553.9145	9756.9035	218	SRRM3,HSPB1,YWHAG	SRRM3,PPIAP81	HSPB1	218	1
10_Peak_4801_lociStitched	chr17	50026431	50067442	10	26956	44722.4955	9949.2686	219	ITGA3,PICART1	AC009720.1,ITGA3,AC002401.4,PDK2,DLX3,AC002401.3,AC002401.2,SAMD14	PICART1	219	1
8_Peak_47724_lociStitched	chr1	156090958	156130990	8	28157	42097.6512	7441.9488	220	LMNA	LAMTOR2,RAB25,LMNA,SEMA4A,UBQLN4,MEX3A	LMNA	220	1
2_Peak_107_lociStitched	chr15	71742755	71762905	2	17880	39266.305	4656.665	221	THSD4	NR2E3	NR2E3	221	1
19_Peak_54175_lociStitched	chr8	130478694	130542109	19	36294	47168.077	12606.902	222		ASAP1	ASAP1	222	1
13_Peak_29814_lociStitched	chr10	95259946	95309786	13	27384	42463.68	7944.496	223	PDLIM1	AL157834.2,PDLIM1,SORBS1	PDLIM1	223	1
1_Peak_1302_lociStitched	chr9	21675497	21691599	1	16103	37524.1008	3165.6532	224		AL137022.1,KHSRPP1,RN7SL151P	KHSRPP1	224	1
17_Peak_75474_lociStitched	chr8	29623564	29684018	17	31343	44899.1858	10627.8132	225	RPL17P33,LINC00589	AC084026.3	RPL17P33	225	1
21_Peak_48307_lociStitched	chr21	38752662	38854798	21	44045	43765.276	9570.1432	226	ETS2,AP001042.1	AP001043.2,RF00091,RPSAP64,LINC00114	ETS2	226	1
8_Peak_64123_lociStitched	chr10	74026308	74082341	8	31928	43593.674	9402.3374	227	VCL,AL596247.1	VCL,AP3M1	VCL	227	1
10_Peak_18578_lociStitched	chr11	114279708	114323806	10	37290	39652.9216	5565.1676	228	NNMT,AP002518.2	ZBTB16,NNMT	NNMT	228	1
4_Peak_29873_lociStitched	chr9	33150709	33173309	4	16128	38553.34	4504.18	229	B4GALT1-AS1,B4GALT1	RNU4ATAC15P,SPINK4	B4GALT1-AS1	229	1
Peak_3387	chr9	73071918	73087523	1	15606	37261.619	3341.0305	230	ALDH1A1	CYP1D1P,ALDH1A1	ALDH1A1	230	1
14_Peak_49292_lociStitched	chr1	93651878	93714676	14	31074	41277.1254	7429.0034	231	BCAR3	BCAR3	BCAR3	231	1
Peak_1024	chr19	38647639	38661668	1	14030	39619.2989	5772.9335	232	ACTN4	EIF3K,ACTN4,MAP4K1,AC008649.2	ACTN4	232	1
4_Peak_21615_lociStitched	chr11	27380015	27405546	4	24565	38738.1863	4899.3989	233	LGR4	CCDC34,LGR4	LGR4	233	1
12_Peak_22078_lociStitched	chr1	235033830	235086092	12	26308	43110.9238	9464.6482	234	LINC01348	AL732292.1,AL732292.2,TOMM20,SNORA14B	LINC01348	234	1
15_Peak_29391_lociStitched	chr9	72525273	72599587	15	38098	44893.0874	11303.1594	235	TMC1	TMC1	TMC1	235	1
15_Peak_81269_lociStitched	chr2	37763919	37809964	15	29887	42260.101	8707.1095	236		AC006369.2,AC010878.1,CDC42EP3,LINC00211	AC010878.1	236	1
17_Peak_33947_lociStitched	chr8	40342802	40416481	17	35139	45820.9701	12289.6572	237	AC105999.1,SIRLNT	SIRLNT	AC105999.1	237	1
Peak_317	chr17	48990225	49004652	1	14428	37016.7966	3523.0734	238	IGF2BP1,AC091133.2	IGF2BP1,RNU6-826P,AC091133.4,SNF8,RNU1-42P,RF01210,GIP,AC091133.3,RF00017	IGF2BP1	238	1
Peak_1222	chr8	127863216	127880335	1	17120	38106.894	4632.4014	239	PVT1	PVT1,RF02166	PVT1	239	1
Peak_290	chr6	35717774	35738278	1	20505	35350.9464	1939.6784	240	ARMC12,FKBP5,AL157823.2	AL157823.1,CLPSL2,CLPSL1,FKBP5	FKBP5	240	1
14_Peak_47378_lociStitched	chr8	32301846	32351454	14	31148	42633.1152	9405.6768	241	NRG1	RNA5SP263	RNA5SP263	241	1
14_Peak_72182_lociStitched	chr9	116142997	116176574	14	24857	39496.6251	6356.1261	242	PAPPA		PAPPA	242	1
8_Peak_69970_lociStitched	chr7	73699257	73726268	8	22538	37402.1317	4383.8853	243	BUD23,MIR4284,STX1A	VPS37D,BUD23,ABHD11-AS1,DNAJC30,RN7SL265P,ABHD11,CLDN3	MIR4284	243	1
22_Peak_23170_lociStitched	chr1	66229948	66301642	22	44838	42457.1868	9506.6244	244	PDE4B	PDE4B	PDE4B	244	1
10_Peak_84123_lociStitched	chr10	34388123	34439612	10	23940	42056.2152	9108.4041	245	PARD3	PARD3,ELOBP4	PARD3	245	1
3_Peak_19044_lociStitched	chr12	6322726	6347314	3	19739	38219.5872	5320.8432	246	PLEKHG6,RN7SL391P,TNFRSF1A,SCNN1A	PLEKHG6,LTBR,AC005840.2,SCNN1A	TNFRSF1A	246	1
16_Peak_8472_lociStitched	chr2	43127437	43200535	16	30527	47184.759	14305.2786	247		LINC01126,AC010883.1,RNU6-242P,LINC02580,ZFP36L2	LINC02580	247	1
6_Peak_77717_lociStitched	chr2	110095120	110117251	6	17322	36724.1814	3892.8429	248	MALL	AC013268.4,MIR4267,MIR4436B1,NPHP1	MALL	248	1
Peak_748	chr11	62538681	62558150	1	19470	36648.4456	3866.5434	249	AP001363.1,AP001363.2,AHNAK	AP001458.1,AHNAK,MIR6747,EEF1G,AP002990.1,TUT1,MTA2,EML3	AHNAK	249	1
10_Peak_34493_lociStitched	chr2	189163694	189235890	10	32250	44588.2496	11818.4852	250	COL5A2	MIR3129	COL5A2	250	1
15_Peak_76163_lociStitched	chr20	49743090	49814779	15	31381	43687.2766	10961.2481	251	RNU6-919P,SLC9A8	RN7SL197P,AL162615.1,B4GALT5,SNRPFP1	RNU6-919P	251	1
5_Peak_17663_lociStitched	chr8	129971007	130001684	5	19387	39361.6587	6718.263	252	FAM49B	AC022973.2,FAM49B,RNU7-181P,MIR5194	FAM49B	252	1
Peak_704	chr7	47570198	47585042	1	14845	35918.0268	3292.3992	253	TNS3	LINC01447,TNS3	TNS3	253	1
Peak_1946	chr20	50275882	50299219	1	23338	37012.482	4441.0311	254	SMIM25,LINC01270	LINC01270,LINC01271	LINC01270	254	1
10_Peak_48841_lociStitched	chr4	138215806	138259696	10	37360	37565.451	5047.35	255	SLC7A11	SLC7A11-AS1,AC093903.1	SLC7A11	255	1
Peak_165	chr20	50302014	50315348	1	13335	35117.7558	2804.1402	256	LINC01270,LINC01271	SMIM25	LINC01270	256	1
9_Peak_73315_lociStitched	chr12	32419106	32463087	9	29343	38905.5926	6619.1405	257	FGD4	FGD4,RF00019,RNU6-494P	RNU6-494P	257	1
6_Peak_63846_lociStitched	chr6	160368288	160401953	6	24244	36708.316	4470.712	258	SLC22A3		SLC22A3	258	1
9_Peak_7148_lociStitched	chr18	70355703	70390773	9	31059	36651.657	4460.904	259	LINC01910	SOCS6,LINC01909,LARP7P3,RPS2P6,LIVAR	LINC01910	259	1
13_Peak_4096_lociStitched	chr5	14141857	14213371	13	30079	44667.6444	12486.3444	260	TRIO		TRIO	260	1
25_Peak_30715_lociStitched	chr16	14360268	14428513	25	38116	43042.1215	10932.849	261	LINC02130,AC040173.1	MIR193BHG	LINC02130	261	1
11_Peak_5743_lociStitched	chr1	109909777	109986288	11	34661	40627.341	8523.3254	262	CSF1,AHCYL1	AL450468.2,AHCYL1,STRIP1,AL450468.1	CSF1	262	1
Peak_84	chr17	50657236	50673968	1	16733	36291.708	4233.196	263	ABCC3	ABCC3,AC005921.2,RF00019,LUC7L3,AC005921.3,AC004590.1,ANKRD40	ABCC3	263	1
8_Peak_37271_lociStitched	chr8	102782093	102811539	8	18872	37614.3204	5621.2414	264	GASAL1	AP003696.1,AZIN1	GASAL1	264	1
18_Peak_46599_lociStitched	chr18	23681283	23745722	18	42100	38992.0389	7049.6266	265	LAMA3,RPL23AP77	ANKRD29,RPS10P27	RPL23AP77	265	1
Peak_866	chr19	44734426	44750315	1	15890	36123.6415	4228.0629	266	BCL3	CEACAM16,BCL3,MIR8085,RF00156,AC092066.1,CBLC,AC243964.2,RF00285	BCL3	266	1
4_Peak_16088_lociStitched	chr3	120659386	120696542	4	24261	38025.4504	6138.1712	267	HGD,RABL3	MTCO1P29,MTCO2P29,GTF2E1,HGD	HGD	267	1
20_Peak_40370_lociStitched	chr2	39469072	39527274	20	33096	42667.8862	10802.2912	268	AC007388.1	AC007388.1,MAP4K3	AC007388.1	268	1
9_Peak_3318_lociStitched	chr9	120680514	120716076	9	31774	38510.0898	6731.8866	269	MEGF9	AHCYP2	MEGF9	269	1
19_Peak_33574_lociStitched	chr9	112007954	112076166	19	31764	42639.3212	10872.9928	270	AL138756.1,SUSD1	RNU6-710P,SUSD1	AL138756.1	270	1
18_Peak_23577_lociStitched	chr9	120616726	120664688	18	35473	40168.175	8412.5348	271	MEGF9	CDK5RAP2	CDK5RAP2	271	1
23_Peak_69984_lociStitched	chr1	181072992	181142785	23	38215	44360.4308	12653.4709	272	IER5	MR1,LINC01732,STX6,AL358393.1	IER5	272	1
4_Peak_11689_lociStitched	chr8	127204604	127232921	4	22786	38661.2001	7033.9428	273	PCAT1,CASC19	PCAT1,CASC19	CASC19	273	1
13_Peak_39724_lociStitched	chr17	45277423	45322467	13	27559	42922.4276	11328.566	274	MAP3K14	FMNL1,MAP3K14-AS1,AC008105.1,AC008105.2,SPATA32,MAP3K14,AC003070.7,AC003070.2	MAP3K14	274	1
12_Peak_65820_lociStitched	chr7	134872403	134923093	12	27712	39979.203	8404.402	275	CALD1	CALD1	CALD1	275	1
8_Peak_28234_lociStitched	chrX	23871420	23908750	8	24608	35769.606	4207.091	276	CXorf58,APOO	CXorf58,RPL9P7,APOO	APOO	276	1
Peak_342	chr7	47595239	47612194	1	16956	35096.85	3640.2385	277		LINC01447,C7orf65,TNS3	LINC01447	277	1
15_Peak_78467_lociStitched	chr15	85328431	85362083	15	28190	37811.3872	6380.4192	278	ADAMTS7P4	AKAP13,MIR7706,ADAMTS7P4,RNU7-79P	ADAMTS7P4	278	1
10_Peak_18966_lociStitched	chr7	116304587	116359143	10	24924	40267.7836	8870.8056	279	CAV2,RF00017,AC073130.2,AC002066.1	AC073130.1	AC073130.2	279	1
Peak_148	chr11	68007815	68021586	1	13772	33944.1379	2572.4228	280	ALDH3B1	ALDH3B1,NDUFS8,MIR7113,MIR4691,TCIRG1,MIR6753,AP002807.1,AC004923.3,OR7E1P,UNC93B1,AC004923.4,CHKA	ALDH3B1	280	1
Peak_50	chr5	172771213	172783971	1	12759	33713.015	2485.2584	281	AC022217.3,RF00019	AC022217.2,AC110011.1,AC022217.1,DUSP1,AC022217.4	AC022217.3	281	1
12_Peak_59496_lociStitched	chr13	95229334	95282772	12	31931	37556.2264	6332.403	282	ABCC4	RNY3P8	ABCC4	282	1
9_Peak_2654_lociStitched	chr17	44533306	44560298	9	22452	37451.4	6262.144	283	FZD2	AC091152.3,AC103703.1,GPATCH8	FZD2	283	1
6_Peak_3683_lociStitched	chr7	116670971	116725445	6	25399	39640.7298	8519.7336	284	MET	MET,LINC01510	MET	284	1
11_Peak_60266_lociStitched	chr19	48539899	48589584	11	28471	40895.7235	9852.5355	285	SULT2B1	SULT2B1,SPACA4,SPHK2,SEC1P,LMTK3,AC008403.3,FAM83E,RPL18,AC022154.1,DBP,CA11	SULT2B1	285	1
Peak_1324	chr8	22979917	22998466	1	18550	34510.4145	3500.1963	286	RHOBTB2,PEBP4,AC107959.1	RN7SL303P,RHOBTB2,PEBP4,AC107959.1,TNFRSF10B	RHOBTB2	286	1
12_Peak_12539_lociStitched	chr11	69101649	69168893	12	32224	39485.6768	8486.1928	287	TPCN2,AP003071.1,AP003071.5,AP003071.2	TPCN2,MIR3164	AP003071.5	287	1
14_Peak_95215_lociStitched	chr15	32820426	32874917	14	25519	41761.9024	10778.3198	288	FMN1,AC090877.1	FMN1	AC090877.1	288	1
Peak_80	chr20	50430298	50448229	1	17932	33893.1762	2931.7185	289		COX6CP2,RN7SL636P	RN7SL636P	289	1
Peak_28	chr17	59748126	59760807	1	12682	34501.1967	3582.3825	290	VMP1	VMP1,AC040904.1,PTRH2	VMP1	290	1
10_Peak_48723_lociStitched	chr10	52435945	52489479	10	29213	40096.966	9218.5548	291	LNCAROD	THAP12P3,RPL31P44	LNCAROD	291	1
Peak_330	chr8	127850064	127863150	1	13087	34845.4008	3988.6128	292	PVT1	PVT1,RF02166	PVT1	292	1
15_Peak_82400_lociStitched	chr10	122088554	122143335	15	26998	39447.7981	8622.5294	293	TACC2	TACC2,AC063960.2	TACC2	293	1
Peak_43	chr17	345012	355787	1	10776	33477.925	2687.285	294	AC129507.2,AC129507.3,RPH3AL	AC129507.4,AC129507.1,RPH3AL	AC129507.2	294	1
6_Peak_1634_lociStitched	chr1	169104721	169162256	6	22842	41016.7015	10316.0255	295	AL031726.1,ATP1B1,NME7	RNA5SP66,LINC00970,AL135926.1	ATP1B1	295	1
7_Peak_2253_lociStitched	chr10	60940922	60980135	7	26142	36919.0395	6234.867	296	RHOBTB1	LINC00845,RNU2-72P	RHOBTB1	296	1
22_Peak_56260_lociStitched	chr5	32016485	32076865	22	40772	37169.928	6539.154	297	PDZD2	PDZD2,AC025178.1	PDZD2	297	1
Peak_189	chr10	3878538	3899827	1	21290	33760.0962	3278.506	298		AL513303.2,AL513303.1	AL513303.1	298	1
12_Peak_50665_lociStitched	chr3	9848528	9899963	12	29670	37012.626	6552.819	299	TTLL3,JAGN1,CIDEC	TTLL3,IL17RE,IL17RC,CRELD1,AC018809.1,PRRT3-AS1,AC022382.1,RPUSD3,RNU6-882P	CIDEC	299	1
12_Peak_4638_lociStitched	chr12	12357074	12416642	12	21784	39255.312	8816.064	300	BORCS5	RPL23AP66,MANSC1,LOH12CR2,AC007619.2	BORCS5	300	1
2_Peak_1735_lociStitched	chr15	63041349	63058429	2	16705	34954.22	4539.864	301	TPM1,TPM1-AS	TPM1,AC087612.1,AC079328.2	TPM1-AS	301	1
20_Peak_37721_lociStitched	chr3	14369333	14424748	20	31845	38618.7135	8256.835	302	RNA5SP124,SLC6A6	SLC6A6,LINC01267	RNA5SP124	302	1
7_Peak_50235_lociStitched	chr1	231377108	231425753	7	24382	38862.4905	8653.9455	303	EGLN1	SPRTN,EXOC8	EGLN1	303	1
9_Peak_47979_lociStitched	chr11	66874722	66907273	9	22480	35770.2939	5585.7516	304	PC	RCE1,LRFN4,RNU7-23P,PC,MIR3163	PC	304	1
7_Peak_52160_lociStitched	chr20	35302092	35330500	7	23403	35504.3184	5420.2464	305	UQCC1	FAM83C-AS1,AL121753.2,MMP24OS,AL121753.1,EIF6,FAM83C,UQCC1	UQCC1	305	1
7_Peak_14789_lociStitched	chr18	48922396	48953587	7	28555	33991.9518	4017.4008	306	SMAD7	AC114684.1	SMAD7	306	1
8_Peak_70137_lociStitched	chr3	152374259	152407130	8	26095	35553.2736	5732.7024	307	MBNL1	MBNL1,RF00019,TMEM14EP	MBNL1	307	1
7_Peak_55894_lociStitched	chr2	20429165	20453056	7	19606	34656.2846	4873.764	308	RHOB,AC023137.1	SLC7A15P,RF00019,RNA5SP86,AC012065.1	RHOB	308	1
17_Peak_47855_lociStitched	chrX	12970666	13031247	17	35673	37481.4647	7730.1356	309	TMSB4X	FAM9C	TMSB4X	309	1
Peak_69	chr3	98911505	98925982	1	14478	32308.3209	2675.3496	310	AC091212.1	RNU6-1263P,DCBLD2	RNU6-1263P	310	1
Peak_1684	chr20	31693305	31709566	1	16262	32946.4121	3325.3745	311	AL117381.1,BCL2L1	ABALON,TPX2,BCL2L1	AL117381.1	311	1
6_Peak_37380_lociStitched	chr20	25295255	25317269	6	19720	33617.5794	4017.555	312	PYGB,ABHD12	AL121772.2,AL121772.3	ABHD12	312	1
Peak_526	chr7	101110672	101129088	1	18417	32762.064	3206.2256	313	SERPINE1	TRIM56,AP1S1,MIR4653,VGF	SERPINE1	313	1
10_Peak_60878_lociStitched	chr8	125405503	125457384	10	22050	39803.1032	10251.6856	314	TRIB1	NSMCE2,AC091114.1	TRIB1	314	1
16_Peak_85845_lociStitched	chr15	63072631	63123287	16	26069	40063.8304	10551.6448	315	AC087612.1,LACTB	TPM1,LACTB,TPM1-AS,AC079328.2,RPS27L	AC087612.1	315	1
9_Peak_72009_lociStitched	chr17	72676833	72722637	9	25803	39652.5228	10154.7468	316	SLC39A11	RPL32P33,AC080037.1,LINC00511,RN7SKP180	SLC39A11	316	1
4_Peak_65053_lociStitched	chr1	200888028	200910807	4	17031	33464.6289	3979.4913	317	INAVA	CAMSAP2,RPL34P6,GPR25,INAVA,MROH3P,RNU6-704P	INAVA	317	1
4_Peak_1801_lociStitched	chr14	103055582	103076550	4	16061	32917.6632	3520.5272	318	CDC42BPB	RPL13P6,LBHD2,AL161669.1,EXOC3L4,TNFAIP2,LINC00677	CDC42BPB	318	1
10_Peak_86554_lociStitched	chr1	204406344	204435688	10	21887	33980.352	4645.1552	319	AL606489.1,PPP1R15B,PIK3C2B	AL606489.2,PLEKHA6,LINC00628,PIK3C2B	PPP1R15B	319	1
18_Peak_30492_lociStitched	chr12	106084247	106140629	18	36693	40843.1208	11547.0336	320	AC011595.1,NUAK1	AC010182.1,AC011595.2,NUAK1	AC011595.1	320	1
8_Peak_8401_lociStitched	chr22	42918023	42964216	8	30335	34390.6885	5099.7072	321	PACSIN2	PACSIN2	PACSIN2	321	1
Peak_139	chr11	67370066	67383115	1	13050	32371.9592	3109.5767	322	RAD9A,AP003419.3,AP003419.1,CLCF1	AP003419.2,RN7SKP239,RAD9A,TBC1D10C,CARNS1,RPS6KB2,POLD4,RNU6-1238P,PPP1CA	RAD9A	322	1
13_Peak_72708_lociStitched	chr10	14559974	14617965	13	27120	39491.871	10241.2106	323	FAM107B	AL158168.1,FAM107B,RNA5SP302	FAM107B	323	1
16_Peak_46439_lociStitched	chr1	164735221	164795874	16	32283	39218.2298	10080.5286	324	PBX1,AL357568.1	PBX1,AL357568.2,RF00017	PBX1	324	1
8_Peak_15699_lociStitched	chr17	73768770	73806666	8	17139	36471.1104	7370.772	325	LINC02092,LINC00469	AC125421.1,AC125421.2	LINC02092	325	1
10_Peak_9517_lociStitched	chr11	122153726	122211122	10	33521	35533.8636	6514.446	326	MIR100HG	MIR100HG,BLID,MIRLET7A2,MIR100	MIR100HG	326	1
Peak_4086	chr7	130892355	130908231	1	15877	32442.606	3438.7416	327	LINC00513,AC016831.6,LINC-PINT	AC058791.1,AC016831.2,MIR29A,MIR29B1,AC016831.4	LINC-PINT	327	1
Peak_72	chr11	76764968	76775717	1	10750	31722.4488	2747.4444	328	AP003119.1	TSKU,AP003119.3,GUCY2EP,AP003119.2	AP003119.1	328	1
7_Peak_777_lociStitched	chr11	12673160	12701248	7	23964	34334.7712	5437.8368	329	TEAD1		TEAD1	329	1
Peak_599	chr17	17013880	17032897	1	19018	33123.8106	4313.0556	330	AC104024.2	LINC02090,MPRIP,TNFRSF13B,AC104024.1,MPRIP-AS1	AC104024.2	330	1
